bayesian	('bayesian',)
analysis	('analysis',)
analysis~bayesian	('bayesian~analysis', 'analysis~bayesian')
is	('is',)
analysis~is	('analysis~is',)
analysis~bayesian~is	('bayesian~analysis~is',)
a	('a',)
a~is	('is~a', 'a~is')
a~analysis~is	('analysis~is~a',)
a~analysis~bayesian~is	('bayesian~analysis~is~a',)
statistical	('statistical',)
analysis~statistical	('analysis~statistical',)
procedure	('procedure',)
procedure~statistical	('statistical~procedure',)
which	('which',)
procedure~which	('procedure~which',)
procedure~statistical~which	('statistical~procedure~which',)
endeavors	('endeavors',)
endeavors~which	('which~endeavors',)
endeavors~procedure~which	('procedure~which~endeavors',)
endeavors~procedure~statistical~which	('statistical~procedure~which~endeavors',)
to	('to',)
endeavors~to	('endeavors~to',)
endeavors~to~which	('which~endeavors~to',)
endeavors~procedure~to~which	('procedure~which~endeavors~to',)
estimate	('estimate',)
estimate~to	('to~estimate',)
endeavors~estimate~to	('endeavors~to~estimate',)
endeavors~estimate~to~which	('which~endeavors~to~estimate',)
parameters	('parameters',)
estimate~parameters	('estimate~parameters',)
estimate~parameters~to	('to~estimate~parameters',)
endeavors~estimate~parameters~to	('endeavors~to~estimate~parameters',)
of	('of',)
of~parameters	('parameters~of',)
estimate~of~parameters	('estimate~parameters~of',)
estimate~of~parameters~to	('to~estimate~parameters~of',)
an	('an',)
an~of	('of~an', 'an~of')
an~of~parameters	('parameters~of~an', 'parameters~an~of')
an~estimate~of~parameters	('estimate~parameters~of~an',)
underlying	('underlying',)
an~underlying	('an~underlying',)
an~of~underlying	('of~an~underlying',)
an~of~parameters~underlying	('parameters~of~an~underlying', 'of~an~underlying~parameters')
distribution	('distribution',)
distribution~underlying	('underlying~distribution', 'distribution~underlying')
an~distribution~underlying	('an~underlying~distribution',)
an~distribution~of~underlying	('of~an~underlying~distribution', 'an~underlying~distribution~of')
based	('based',)
based~distribution	('distribution~based',)
based~distribution~underlying	('underlying~distribution~based',)
an~based~distribution~underlying	('an~underlying~distribution~based',)
on	('on',)
based~on	('based~on', 'on~based')
based~distribution~on	('distribution~based~on',)
based~distribution~on~underlying	('underlying~distribution~based~on',)
the	('the',)
on~the	('on~the', 'the~on')
based~on~the	('based~on~the',)
based~distribution~on~the	('distribution~based~on~the',)
observed	('observed',)
observed~the	('the~observed', 'observed~the')
observed~on~the	('on~the~observed', 'the~observed~on')
based~observed~on~the	('based~on~the~observed',)
begin	('begin',)
begin~distribution	('distribution~begin',)
begin~distribution~observed	('observed~distribution~begin',)
begin~distribution~observed~the	('the~observed~distribution~begin',)
with	('with',)
begin~with	('begin~with',)
begin~distribution~with	('distribution~begin~with',)
begin~distribution~observed~with	('observed~distribution~begin~with',)
a~with	('with~a', 'a~with')
a~begin~with	('begin~with~a',)
a~begin~distribution~with	('distribution~begin~with~a',)
prior	('prior',)
may	('may',)
bayesian~may	('bayesian~may',)
be	('be',)
analysis~be	('analysis~be',)
analysis~bayesian~be	('bayesian~analysis~be',)
based~is	('is~based',)
analysis~based~is	('analysis~is~based',)
analysis~based~bayesian~is	('bayesian~analysis~is~based',)
a~on	('a~on', 'on~a')
a~is~on	('is~a~on', 'on~a~is')
a~analysis~is~on	('analysis~is~a~on',)
anything	('anything',)
including	('including',)
including~procedure	('procedure~including',)
including~procedure~statistical	('statistical~procedure~including',)
an~which	('which~an', 'an~which')
an~procedure~which	('procedure~which~an',)
an~procedure~statistical~which	('statistical~procedure~which~an',)
assessment	('assessment',)
assessment~endeavors	('endeavors~assessment',)
assessment~endeavors~which	('which~endeavors~assessment',)
assessment~endeavors~procedure~which	('procedure~which~endeavors~assessment',)
of~to	('to~of', 'of~to')
endeavors~of~to	('endeavors~to~of',)
endeavors~of~to~which	('which~endeavors~to~of',)
estimate~the	('estimate~the', 'the~estimate')
estimate~the~to	('to~estimate~the',)
endeavors~estimate~the~to	('endeavors~to~estimate~the',)
relative	('relative',)
