bayesian	{'0': 7, '36': 1, '32': 1, '104': 1}
analysis	{'0': 4, '28': 1, '29': 1, '26': 1, '43': 2, '44': 2, '45': 3, '46': 5, '47': 3, '48': 8, '49': 2, '36': 1, '58': 1, '60': 2, '62': 1, '50': 2, '51': 2, '67': 1, '69': 2, '57': 1, '63': 1, '64': 1, '30': 1, '32': 2, '73': 1, '59': 2, '74': 1, '76': 1, '77': 2, '65': 1, '89': 1, '91': 1, '82': 1, '97': 1, '98': 1, '83': 1, '84': 1, '99': 2, '100': 2, '101': 2, '102': 1, '85': 3, '86': 1, '87': 1, '103': 5, '104': 1, '110': 1}
bayesian~analysis	{'0': 2}
is	{'0': 6, '5': 6, '8': 2, '10': 4, '12': 3, '6': 2, '7': 20, '14': 1, '15': 2, '16': 4, '17': 1, '18': 6, '19': 3, '20': 10, '21': 9, '23': 8, '22': 10, '24': 1, '25': 18, '26': 7, '27': 8, '32': 17, '33': 4, '35': 3, '36': 26, '38': 13, '41': 16, '42': 13, '28': 8, '29': 8, '43': 25, '45': 53, '47': 31, '48': 105, '49': 41, '46': 73, '30': 7, '31': 5, '34': 13, '37': 7, '40': 30, '50': 67, '39': 21, '44': 8, '52': 39, '53': 28, '54': 35, '55': 28, '51': 60, '56': 42, '58': 41, '59': 17, '57': 53, '60': 46, '63': 8, '64': 26, '65': 14, '68': 58, '69': 64, '61': 9, '62': 9, '73': 7, '75': 10, '66': 16, '67': 24, '74': 18, '76': 13, '77': 17, '70': 48, '71': 23, '72': 19, '78': 45, '79': 12, '81': 34, '80': 12, '82': 12, '83': 6, '84': 22, '85': 4, '86': 3, '87': 8, '90': 15, '88': 5, '91': 19, '92': 8, '89': 8, '93': 8, '95': 4, '97': 3, '98': 13, '96': 7, '94': 20, '99': 5, '103': 5, '100': 1, '101': 4, '104': 26, '105': 4, '106': 10, '107': 4, '108': 9, '109': 6, '102': 4, '110': 13, '111': 2, '112': 16, '115': 3, '116': 9}
analysis~is	{'0': 2, '48': 2}
bayesian~analysis~is	{'0': 2}
a	{'0': 7, '4': 1, '5': 14, '6': 4, '7': 24, '9': 4, '10': 8, '12': 5, '13': 1, '14': 4, '15': 5, '16': 6, '18': 5, '19': 2, '20': 4, '21': 3, '22': 10, '23': 6, '24': 6, '25': 19, '30': 9, '31': 6, '32': 26, '26': 18, '27': 3, '34': 13, '36': 18, '38': 7, '39': 42, '41': 18, '42': 14, '28': 6, '29': 5, '43': 34, '44': 11, '45': 49, '46': 45, '47': 32, '48': 74, '49': 42, '35': 8, '37': 5, '40': 24, '50': 45, '52': 18, '54': 33, '55': 22, '53': 17, '51': 39, '56': 30, '59': 30, '57': 34, '58': 48, '60': 43, '61': 11, '63': 11, '64': 19, '69': 63, '70': 47, '71': 24, '72': 32, '73': 8, '75': 18, '65': 37, '66': 20, '67': 27, '68': 51, '74': 9, '76': 22, '77': 19, '62': 12, '33': 5, '78': 47, '79': 1, '80': 10, '81': 49, '82': 14, '83': 11, '84': 12, '87': 10, '88': 11, '90': 28, '85': 6, '91': 16, '92': 7, '89': 15, '93': 6, '94': 13, '95': 10, '96': 14, '97': 5, '98': 19, '100': 3, '102': 5, '86': 3, '103': 4, '101': 1, '104': 15, '105': 6, '106': 5, '107': 8, '108': 9, '109': 4, '110': 4, '111': 3, '112': 18, '114': 3, '115': 2, '116': 14}
is~a	{'0': 2, '7': 3, '15': 1, '16': 1, '20': 2, '21': 1, '26': 2, '49': 3, '38': 1, '34': 1, '37': 1, '43': 3, '39': 11, '56': 4, '46': 2, '47': 4, '48': 14, '57': 1, '58': 5, '54': 4, '30': 1, '73': 2, '32': 1, '67': 2, '60': 3, '76': 3, '77': 1, '66': 3, '68': 8, '52': 2, '70': 3, '78': 4, '82': 3, '84': 1, '87': 2, '81': 1, '90': 1, '88': 3, '92': 3, '89': 3, '71': 2, '91': 1, '97': 1, '86': 1, '96': 1, '109': 1, '40': 1, '102': 1, '55': 1, '72': 3, '53': 1, '50': 1, '116': 2}
analysis~is~a	{'0': 2, '48': 1}
bayesian~analysis~is~a	{'0': 1}
statistical	{'0': 1, '6': 1, '7': 2, '8': 1, '19': 3, '20': 5, '23': 2, '22': 2, '25': 1, '32': 3, '27': 4, '33': 1, '34': 5, '35': 1, '36': 5, '38': 3, '42': 3, '44': 1, '37': 1, '50': 3, '54': 6, '52': 3, '53': 2, '45': 2, '43': 2, '59': 1, '48': 3, '56': 2, '58': 2, '64': 2, '60': 1, '77': 8, '68': 3, '51': 2, '47': 3, '70': 4, '71': 8, '72': 8, '73': 3, '84': 2, '69': 1, '78': 8, '79': 5, '80': 6, '81': 4, '82': 4, '85': 4, '86': 3, '87': 2, '88': 3, '89': 5, '83': 1, '74': 1, '75': 1, '76': 1, '90': 9, '91': 7, '92': 6, '93': 3, '94': 4, '95': 5, '96': 4, '97': 4, '98': 5, '99': 1, '100': 3, '101': 2, '102': 3, '49': 1, '104': 1, '108': 1, '40': 3, '41': 1, '46': 1, '114': 2, '116': 2}
